network,method,path_length,n_correct,n_total,accuracy_pct
Plant Height,Algebraic,1,18,27,66.67
Plant Height,Algebraic,2,17,23,73.91
Plant Height,Algebraic,3,16,18,88.89
Plant Height,Algebraic,4,26,35,74.29
Plant Height,Algebraic,5,7,7,100.0
Plant Height,Algebraic,6,3,5,60.0
Plant Height,ODE,1,19,27,70.37
Plant Height,ODE,2,14,23,60.87
Plant Height,ODE,3,17,18,94.44
Plant Height,ODE,4,30,35,85.71
Plant Height,ODE,5,7,7,100.0
Plant Height,ODE,6,3,5,60.0
Plant Height,RWR,1,25,27,92.59
Plant Height,RWR,2,23,23,100.0
Plant Height,RWR,3,16,18,88.89
Plant Height,RWR,4,32,35,91.43
Plant Height,RWR,5,7,7,100.0
Plant Height,RWR,6,4,5,80.0
