id	label	type	raw_type	role	WT_value	KO_value	log2fc	is_phenotype
Strigolactone	Strigolactone	HORMONE	HORMONE	input_hormone	1.000000	1.000000	0.0000	false
D14	D14	GENE	GENE	receptor	1.000000	1.000000	0.0000	false
MAX2	MAX2	GENE	GENE	perturbed_gene	1.000000	0.000000	-19.9316	false
SMXL678	SMXL678	GENE	PROTEIN_COMPLEX	primary_target	1.000000	10.000000	3.3219	false
BES1	BES1	GENE	GENE	primary_target	1.000000	10.000000	3.3219	false
SPL9	SPL9	GENE	GENE	secondary_target	1.000000	0.100000	-3.3219	false
BRC1	BRC1	GENE	GENE	central_repressor	1.000000	0.004642	-7.7512	false
HB21	HB21	GENE	GENE	downstream_TF	1.000000	0.100000	-3.3219	false
NCED3	NCED3	GENE	GENE	biosynthesis_enzyme	1.000000	0.316228	-1.6610	false
ABA	ABA	HORMONE	HORMONE	downstream_hormone	1.000000	0.562341	-0.8305	false
PIN1	PIN1	GENE	GENE	downstream_transporter	1.000000	1.584893	0.6644	false
PIN3	PIN3	GENE	GENE	downstream_transporter	1.000000	10.000000	3.3219	false
Shoot_Branching	Shoot_Branching	PHENOTYPE	PHENOTYPE	phenotype	1.000000	17.378008	4.1192	true
