method,phenotype_node,n,correct,accuracy_pct,cohens_kappa
Algebraic,Flowering_Time,112,14,12.5,0.0369
Algebraic,Hypocotyl_Length,116,37,31.9,0.1524
Algebraic,Lateral_Root_Density,117,25,21.4,0.0612
Algebraic,Plant_Height,114,6,5.3,0.0
Algebraic,Seed_Size,101,4,4.0,-0.0492
Algebraic,Shoot_Branching,62,39,62.9,0.4613
ODE,Flowering_Time,112,47,42.0,0.0785
ODE,Hypocotyl_Length,116,51,44.0,0.0456
ODE,Lateral_Root_Density,117,72,61.5,0.3296
ODE,Plant_Height,114,15,13.2,-0.0649
ODE,Seed_Size,101,42,41.6,0.0568
ODE,Shoot_Branching,62,40,64.5,0.4509
RWR,Flowering_Time,112,48,42.9,0.1006
RWR,Hypocotyl_Length,116,67,57.8,0.3055
RWR,Lateral_Root_Density,117,71,60.7,0.3296
RWR,Plant_Height,114,16,14.0,-0.0369
RWR,Seed_Size,101,29,28.7,-0.0234
RWR,Shoot_Branching,62,35,56.5,0.3165
