trait,source,method,accuracy,n_tested,kappa,mcc,frs,dars
shoot_branching,FLASH_P,algebraic,84.1,63,0.7379,0.7045,0,9.6847
shoot_branching,FLASH_P,ode,96.8,63,0.9484,0.9537,0,12.4462
shoot_branching,FLASH_P,rwr,74.6,63,0.5674,0.689,0,7.4463
flowering_time,FLASH_P,algebraic,94.6,93,0.889,0.8333,0,12.126
flowering_time,FLASH_P,ode,93.5,93,0.8685,0.7541,0,11.8463
flowering_time,FLASH_P,rwr,94.6,93,0.889,0.8333,0,12.126
hypocotyl_length,FLASH_P,algebraic,95.7,116,0.9205,0.8952,0,13.2197
hypocotyl_length,FLASH_P,ode,93.1,116,0.8751,0.8234,0,12.5676
hypocotyl_length,FLASH_P,rwr,92.2,116,0.8508,0.8979,0,12.2177
plant_height,FLASH_P,algebraic,75.7,115,0.5984,0.4916,0,8.6104
plant_height,FLASH_P,ode,78.3,115,0.6399,0.5673,0,9.209
plant_height,FLASH_P,rwr,93.0,115,0.8674,0.9176,0,12.482
lateral_root_density,FLASH_P,algebraic,86.6,119,0.7575,0.6698,0,10.6203
lateral_root_density,FLASH_P,ode,86.6,119,0.7471,0.6435,0,10.4745
lateral_root_density,FLASH_P,rwr,86.6,119,0.7457,0.5897,0,10.4541
seed_size,FLASH_P,algebraic,66.7,102,0.4239,0.3161,0,6.2298
seed_size,FLASH_P,ode,87.3,102,0.7698,0.5577,0,11.3132
seed_size,FLASH_P,rwr,91.2,102,0.8342,0.5833,0,12.2588
merged,FLASH_P,algebraic,69.6,608,0.4432,0.391,0,8.4016
merged,FLASH_P,ode,81.4,608,0.6713,0.6171,0,12.7262
merged,FLASH_P,rwr,88.5,608,0.7882,0.6204,0,14.9406
shoot_branching,KB_Cleaned,algebraic,70.5,61,0.558,0.5924,0,7.82
shoot_branching,KB_Cleaned,ode,73.8,61,0.5818,0.6226,0,8.1544
shoot_branching,KB_Cleaned,rwr,63.9,61,0.416,0.5397,0,5.8304
flowering_time,KB_Cleaned,algebraic,13.9,115,0.0422,0.0788,0,0.7358
flowering_time,KB_Cleaned,ode,59.1,115,0.2549,0.2634,0,4.4496
flowering_time,KB_Cleaned,rwr,61.7,115,0.2887,0.3115,0,5.0402
hypocotyl_length,KB_Cleaned,algebraic,37.1,116,0.1847,0.2717,0,3.3221
hypocotyl_length,KB_Cleaned,ode,60.3,116,0.3513,0.388,0,6.3201
hypocotyl_length,KB_Cleaned,rwr,67.2,116,0.4043,0.2842,0,7.2736
plant_height,KB_Cleaned,algebraic,10.1,109,-0.0045,-0.0027,0,-0.0701
plant_height,KB_Cleaned,ode,40.4,109,0.0337,0.0624,0,0.5235
plant_height,KB_Cleaned,rwr,43.1,109,-0.0754,-0.0803,0,-1.1723
lateral_root_density,KB_Cleaned,algebraic,19.7,117,0.0286,0.0288,0,0.5219
lateral_root_density,KB_Cleaned,ode,69.2,117,0.4352,0.4641,0,7.9373
lateral_root_density,KB_Cleaned,rwr,67.5,117,0.3851,0.3234,0,7.0223
seed_size,KB_Cleaned,algebraic,8.5,94,-0.0303,-0.0667,0,-0.5031
seed_size,KB_Cleaned,ode,52.1,94,0.1612,0.1148,0,2.6736
seed_size,KB_Cleaned,rwr,50.0,94,0.1361,0.0935,0,2.257
merged,KB_Cleaned,algebraic,20.1,622,0.0588,0.1139,0,1.3049
merged,KB_Cleaned,ode,42.9,622,0.1079,0.1015,0,2.3949
merged,KB_Cleaned,rwr,42.8,622,0.1286,0.1054,0,2.8557
